Rank,Full Journal Title,Abbreviated Title,ISSN,Total Cites,Journal Impact Factor
1,Ca-A Cancer Journal for Clinicians,Ca-A Cancer Journal for Clinicians,15424863,211,106.094
1,Ca-A Cancer Journal for Clinicians,Ca-A Cancer Journal for Clinicians, 00079235,211,106.094
2,Foundations and Trends in Machine Learning,Foundations and Trends in Machine Learning,19358245,39,37.044
2,Foundations and Trends in Machine Learning,Foundations and Trends in Machine Learning, 19358237,39,37.044
3,Nature Reviews Molecular Cell Biology,Nature Reviews Molecular Cell Biology,14710072,508,35.910
3,Nature Reviews Molecular Cell Biology,Nature Reviews Molecular Cell Biology, 14710080,508,35.910
4,Quarterly Journal of Economics,Quarterly Journal of Economics,00335533,306,30.448
4,Quarterly Journal of Economics,Quarterly Journal of Economics, 15314650,306,30.448
5,Nature Reviews Cancer,Nature Reviews Cancer,1474175X,505,26.837
5,Nature Reviews Cancer,Nature Reviews Cancer, 14741768,505,26.837
6,Cell,Cell,00928674,892,24.342
6,Cell,Cell, 10974172,892,24.342
7,Nature Reviews Drug Discovery,Nature Reviews Drug Discovery,14741784,391,22.399
7,Nature Reviews Drug Discovery,Nature Reviews Drug Discovery, 14741776,391,22.399
8,American Economic Review,American Economic Review,19447981,359,22.344
8,American Economic Review,American Economic Review, 00028282,359,22.344
9,Nature Reviews Materials,Nature Reviews Materials,20588437,184,21.836
10,Nature Reviews Clinical Oncology,Nature Reviews Clinical Oncology,17594782,217,21.048
10,Nature Reviews Clinical Oncology,Nature Reviews Clinical Oncology, 17594774,217,21.048
11,New England Journal of Medicine,New England Journal of Medicine,00284793,1184,20.544
11,New England Journal of Medicine,New England Journal of Medicine, 15334406,1184,20.544
12,Journal of Finance,Journal of Finance,00221082,352,19.139
12,Journal of Finance,Journal of Finance, 15406261,352,19.139
13,Nature Medicine,Nature Medicine,1546170X,630,19.045
13,Nature Medicine,Nature Medicine, 10788956,630,19.045
14,Current Protocols in Bioinformatics,Current Protocols in Bioinformatics,19343396,71,18.663
14,Current Protocols in Bioinformatics,Current Protocols in Bioinformatics, 1934340X,71,18.663
15,MMWR supplements,MMWR supplements,23808942,23,18.587
15,MMWR supplements,MMWR supplements, 23808950,23,18.587
16,Journal of Political Economy,Journal of Political Economy,00223808,215,18.530
16,Journal of Political Economy,Journal of Political Economy, 1537534X,215,18.530
17,Nature,Nature,14764687,1391,18.509
17,Nature,Nature, 00280836,1391,18.509
18,Nature Biotechnology,Nature Biotechnology,15461696,511,18.117
18,Nature Biotechnology,Nature Biotechnology, 10870156,511,18.117
19,Chemical Reviews,Chemical Reviews,15206890,833,17.828
19,Chemical Reviews,Chemical Reviews, 00092665,833,17.828
20,Econometrica,Econometrica,00129682,223,17.701
20,Econometrica,Econometrica, 14680262,223,17.701
21,Review of Financial Studies,Review of Financial Studies,14657368,234,17.654
21,Review of Financial Studies,Review of Financial Studies, 08939454,234,17.654
22,Cancer Cell,Cancer Cell,15356108,398,17.507
22,Cancer Cell,Cancer Cell, 18783686,398,17.507
23,Nature Energy,Nature Energy,20587546,229,17.497
24,Nature Genetics,Nature Genetics,10614036,639,17.300
24,Nature Genetics,Nature Genetics, 15461718,639,17.300
25,Reviews of Modern Physics,Reviews of Modern Physics,00346861,388,16.061
25,Reviews of Modern Physics,Reviews of Modern Physics, 15390756,388,16.061
26,Nature Reviews Immunology,Nature Reviews Immunology,14741741,467,16.009
26,Nature Reviews Immunology,Nature Reviews Immunology, 14741733,467,16.009
27,IEEE Communications Surveys and Tutorials,IEEE Communications Surveys and Tutorials,1553877X,264,15.966
28,World Psychiatry,World Psychiatry,17238617,140,15.827
29,Annual Review of Immunology,Annual Review of Immunology,15453278,328,15.620
29,Annual Review of Immunology,Annual Review of Immunology, 07320582,328,15.620
30,National Vital Statistics Reports,National Vital Statistics Reports,15518922,115,14.943
30,National Vital Statistics Reports,National Vital Statistics Reports, 15518930,115,14.943
31,Nature Methods,Nature Methods,15487091,388,14.796
31,Nature Methods,Nature Methods, 15487105,388,14.796
32,Advances in Physics,Advances in Physics,14606976,123,14.780
32,Advances in Physics,Advances in Physics, 00018732,123,14.780
33,Nano Research Energy,Nano Research Energy,27910091,32,14.707
33,Nano Research Energy,Nano Research Energy, 27908119,32,14.707
34,MMWR Recommendations and Reports,MMWR Recommendations and Reports,10575987,160,14.618
34,MMWR Recommendations and Reports,MMWR Recommendations and Reports, 15458601,160,14.618
35,Academy of Management Annals,Academy of Management Annals,19416520,109,14.605
35,Academy of Management Annals,Academy of Management Annals, 19416067,109,14.605
36,Nature Nanotechnology,Nature Nanotechnology,17483387,419,14.577
36,Nature Nanotechnology,Nature Nanotechnology, 17483395,419,14.577
37,Nature Reviews Genetics,Nature Reviews Genetics,14710056,421,14.293
37,Nature Reviews Genetics,Nature Reviews Genetics, 14710064,421,14.293
38,Nature Materials,Nature Materials,14764660,558,14.231
38,Nature Materials,Nature Materials, 14761122,558,14.231
39,Administrative Science Quarterly,Administrative Science Quarterly,00018392,210,14.175
39,Administrative Science Quarterly,Administrative Science Quarterly, 19303815,210,14.175
40,Annals of Oncology,Annals of Oncology,15698041,294,13.942
40,Annals of Oncology,Annals of Oncology, 09237534,294,13.942
41,Annual Review of Astronomy and Astrophysics,Annual Review of Astronomy and Astrophysics,15454282,210,13.670
41,Annual Review of Astronomy and Astrophysics,Annual Review of Astronomy and Astrophysics, 00664146,210,13.670
42,Journal of Financial Economics,Journal of Financial Economics,0304405X,311,13.655
43,Review of Economic Studies,Review of Economic Studies,00346527,165,13.609
43,Review of Economic Studies,Review of Economic Studies, 1467937X,165,13.609
44,Immunity,Immunity,10974180,455,13.578
44,Immunity,Immunity, 10747613,455,13.578
45,Nature Catalysis,Nature Catalysis,25201158,136,13.315
46,Morbidity and Mortality Weekly Report,Morbidity and Mortality Weekly Report,01492195,260,13.080
46,Morbidity and Mortality Weekly Report,Morbidity and Mortality Weekly Report, 1545861X,260,13.080
47,Chemical Society Reviews,Chemical Society Reviews,03060012,635,12.511
47,Chemical Society Reviews,Chemical Society Reviews, 14604744,635,12.511
48,American Economic Journal: Macroeconomics,American Economic Journal: Macroeconomics,19457707,81,12.324
48,American Economic Journal: Macroeconomics,American Economic Journal: Macroeconomics, 19457715,81,12.324
49,Nature Reviews Methods Primers,Nature Reviews Methods Primers,26628449,46,12.294
50,eScience,eScience,20972431,44,12.288
50,eScience,eScience, 26671417,44,12.288
51,Proceedings of the IEEE International Conference on Computer Vision,Proceedings of the IEEE International Conference on Computer Vision,15505499,356,12.263
52,Nature Neuroscience,Nature Neuroscience,10976256,479,12.261
52,Nature Neuroscience,Nature Neuroscience, 15461726,479,12.261
53,Handbook of Econometrics,Handbook of Econometrics,15734412,24,12.192
54,Lancet Oncology. The,Lancet Oncology. The,14702045,408,12.179
54,Lancet Oncology. The,Lancet Oncology. The, 14745488,408,12.179
55,Lancet. The,Lancet. The,01406736,895,12.113
55,Lancet. The,Lancet. The, 1474547X,895,12.113
56,Science,Science,10959203,1336,11.902
56,Science,Science, 00368075,1336,11.902
57,Nature Cancer,Nature Cancer,26621347,61,11.900
58,Journal of Marketing,Journal of Marketing,15477185,284,11.799
58,Journal of Marketing,Journal of Marketing, 00222429,284,11.799
59,Annual Review of Pathology: Mechanisms of Disease,Annual Review of Pathology: Mechanisms of Disease,15534006,147,11.748
59,Annual Review of Pathology: Mechanisms of Disease,Annual Review of Pathology: Mechanisms of Disease, 15534014,147,11.748
60,Joule,Joule,25424351,187,11.724
61,Nature Electronics,Nature Electronics,25201131,109,11.667
62,Nature Reviews Chemistry,Nature Reviews Chemistry,23973358,109,11.603
63,Cell Metabolism,Cell Metabolism,15504131,345,11.406
63,Cell Metabolism,Cell Metabolism, 19327420,345,11.406
64,Nature Immunology,Nature Immunology,15292908,440,11.274
64,Nature Immunology,Nature Immunology, 15292916,440,11.274
65,Nature Photonics,Nature Photonics,17494885,385,11.249
66,Journal of Economic Literature,Journal of Economic Literature,220515,180,11.092
67,Energy and Environmental Science,Energy and Environmental Science,17545692,436,10.935
67,Energy and Environmental Science,Energy and Environmental Science, 17545706,436,10.935
68,Physiological Reviews,Physiological Reviews,15221210,388,10.821
68,Physiological Reviews,Physiological Reviews, 00319333,388,10.821
69,Journal of Clinical Oncology,Journal of Clinical Oncology,15277755,624,10.639
69,Journal of Clinical Oncology,Journal of Clinical Oncology, 0732183X,624,10.639
70,Academy of Management Review,Academy of Management Review,3637425,306,10.486
71,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,10636919,531,10.331
72,MMWR Surveillance Summaries,MMWR Surveillance Summaries,15458636,121,10.275
72,MMWR Surveillance Summaries,MMWR Surveillance Summaries, 15460738,121,10.275
73,Cell Stem Cell,Cell Stem Cell,19345909,305,10.253
73,Cell Stem Cell,Cell Stem Cell, 18759777,305,10.253
74,Lancet Diabetes and Endocrinology.The,Lancet Diabetes and Endocrinology.The,22138595,173,10.247
74,Lancet Diabetes and Endocrinology.The,Lancet Diabetes and Endocrinology.The, 22138587,173,10.247
75,Nature Reviews Disease Primers,Nature Reviews Disease Primers,2056676X,186,10.215
76,Living Reviews in Relativity,Living Reviews in Relativity,14338351,93,10.188
76,Living Reviews in Relativity,Living Reviews in Relativity, 23673613,93,10.188
77,Psychological Science in the Public Interest,Psychological Science in the Public Interest,21600031,60,9.887
77,Psychological Science in the Public Interest,Psychological Science in the Public Interest, 15291006,60,9.887
78,Journal of Hepatology,Journal of Hepatology,16000641,301,9.857
78,Journal of Hepatology,Journal of Hepatology, 01688278,301,9.857
79,Annual Review of Condensed Matter Physics,Annual Review of Condensed Matter Physics,19475454,87,9.821
79,Annual Review of Condensed Matter Physics,Annual Review of Condensed Matter Physics, 19475462,87,9.821
80,Annual Review of Biochemistry,Annual Review of Biochemistry,15454509,321,9.745
80,Annual Review of Biochemistry,Annual Review of Biochemistry, 00664154,321,9.745
81,Nature Reviews Gastroenterology and Hepatology,Nature Reviews Gastroenterology and Hepatology,17595045,193,9.741
81,Nature Reviews Gastroenterology and Hepatology,Nature Reviews Gastroenterology and Hepatology, 17595053,193,9.741
82,Astronomy and Astrophysics Review,Astronomy and Astrophysics Review,09354956,78,9.664
82,Astronomy and Astrophysics Review,Astronomy and Astrophysics Review, 14320754,78,9.664
83,Nature Reviews Microbiology,Nature Reviews Microbiology,17401534,372,9.639
83,Nature Reviews Microbiology,Nature Reviews Microbiology, 17401526,372,9.639
84,Nature Reviews Earth and Environment,Nature Reviews Earth and Environment,2662138X,67,9.521
85,Cell Research,Cell Research,17487838,216,9.506
85,Cell Research,Cell Research, 10010602,216,9.506
86,Annual Review of Psychology,Annual Review of Psychology,00664308,279,9.438
86,Annual Review of Psychology,Annual Review of Psychology, 15452085,279,9.438
87,Lancet Public Health. The,Lancet Public Health. The,24682667,90,9.434
88,Molecular Cell,Molecular Cell,10974164,443,9.332
88,Molecular Cell,Molecular Cell, 10972765,443,9.332
89,Advanced Materials,Advanced Materials,09359648,640,9.191
89,Advanced Materials,Advanced Materials, 15214095,640,9.191
90,Journal of Econometrics,Journal of Econometrics,03044076,188,9.161
90,Journal of Econometrics,Journal of Econometrics, 18726895,188,9.161
91,Synthesis Lectures on Artificial Intelligence and Machine Learning,Synthesis Lectures on Artificial Intelligence and Machine Learning,19394616,30,9.129
91,Synthesis Lectures on Artificial Intelligence and Machine Learning,Synthesis Lectures on Artificial Intelligence and Machine Learning, 19394608,30,9.129
92,Lancet Gastroenterology and Hepatology. The,Lancet Gastroenterology and Hepatology. The,24681253,105,8.957
93,American Economic Journal: Applied Economics,American Economic Journal: Applied Economics,19457790,109,8.933
93,American Economic Journal: Applied Economics,American Economic Journal: Applied Economics, 19457782,109,8.933
94,Annual Review of Economics,Annual Review of Economics,19411383,76,8.925
94,Annual Review of Economics,Annual Review of Economics, 19411391,76,8.925
95,Acta Numerica,Acta Numerica,14740508,85,8.913
95,Acta Numerica,Acta Numerica, 09624929,85,8.913
96,Nature Cell Biology,Nature Cell Biology,14764679,409,8.913
96,Nature Cell Biology,Nature Cell Biology, 14657392,409,8.913
97,Reviews of Geophysics,Reviews of Geophysics,19449208,191,8.853
97,Reviews of Geophysics,Reviews of Geophysics, 87551209,191,8.853
98,Cell Genomics,Cell Genomics,2666979X,20,8.807
99,Journal of the American College of Cardiology,Journal of the American College of Cardiology,15583597,493,8.762
99,Journal of the American College of Cardiology,Journal of the American College of Cardiology, 07351097,493,8.762
100,Science immunology,Science immunology,24709468,106,8.761
101,Annual Review of Fluid Mechanics,Annual Review of Fluid Mechanics,15454479,214,8.751
101,Annual Review of Fluid Mechanics,Annual Review of Fluid Mechanics, 00664189,214,8.751
102,Advanced Energy Materials,Advanced Energy Materials,16146832,319,8.748
102,Advanced Energy Materials,Advanced Energy Materials, 16146840,319,8.748
103,Signal Transduction and Targeted Therapy,Signal Transduction and Targeted Therapy,20593635,117,8.737
103,Signal Transduction and Targeted Therapy,Signal Transduction and Targeted Therapy, 20959907,117,8.737
104,Advances in Optics and Photonics,Advances in Optics and Photonics,19438206,88,8.735
105,IEEE Journal on Selected Areas in Communications,IEEE Journal on Selected Areas in Communications,7338716,263,8.707
106,Annual Review of Neuroscience,Annual Review of Neuroscience,0147006X,261,8.658
106,Annual Review of Neuroscience,Annual Review of Neuroscience, 15454126,261,8.658
107,eLight,eLight,26628643,22,8.650
107,eLight,eLight, 20971710,22,8.650
108,Lancet Neurology. The,Lancet Neurology. The,14744465,355,8.589
108,Lancet Neurology. The,Lancet Neurology. The, 14744422,355,8.589
109,Circulation,Circulation,00097322,674,8.415
109,Circulation,Circulation, 15244539,674,8.415
110,Psychological Bulletin,Psychological Bulletin,00332909,359,8.412
110,Psychological Bulletin,Psychological Bulletin, 19391455,359,8.412
111,Nature Reviews Cardiology,Nature Reviews Cardiology,17595010,183,8.408
111,Nature Reviews Cardiology,Nature Reviews Cardiology, 17595002,183,8.408
112,Journal of Accounting and Economics,Journal of Accounting and Economics,1654101,187,8.337
113,Academy of Management Journal,Academy of Management Journal,14273,375,8.271
114,Nature Physics,Nature Physics,17452473,334,8.228
115,Molecular Cancer,Molecular Cancer,14764598,196,8.222
116,AI Open,AI Open,26666510,16,8.119
117,Gut,Gut,14683288,348,8.052
117,Gut,Gut, 00175749,348,8.052
118,Foundations and Trends in Finance,Foundations and Trends in Finance,15672409,23,8.051
118,Foundations and Trends in Finance,Foundations and Trends in Finance, 15672395,23,8.051
119,Synthesis Lectures on Communication Networks,Synthesis Lectures on Communication Networks,19354185,12,7.993
120,Nature Microbiology,Nature Microbiology,20585276,138,7.982
121,Lancet Respiratory Medicine.The,Lancet Respiratory Medicine.The,22132619,182,7.965
121,Lancet Respiratory Medicine.The,Lancet Respiratory Medicine.The, 22132600,182,7.965
122,Nature Biomedical Engineering,Nature Biomedical Engineering,2157846X,116,7.951
123,Endocrine Reviews,Endocrine Reviews,19457189,307,7.922
